archivo,nivel,categoria,texto
"voz/inicial-20-p.mp3","Inicial","cultivo","¿Qué sale primero cuando germina una semilla? Opción 1: Un fruto. Opción 2: Una flor. Opción 3: Una raicita."
"voz/inicial-21-p.mp3","Inicial","clima","El sol nos da… Opción 1: Viento frío. Opción 2: Luz y calor. Opción 3: Lluvia."
"voz/inicial-22-p.mp3","Inicial","agua","El agua del mar, ¿sirve para regar las plantas del huerto? Opción 1: No, porque tiene mucha sal. Opción 2: Sí, es igual que la del caño. Opción 3: Sí, pero solo los martes."
"voz/inicial-23-p.mp3","Inicial","ciencia","Si mi planta creció más que la de mi compañero, eso es… Opción 1: Un secreto. Opción 2: Un error. Opción 3: Un resultado que puedo contar y comparar."
"voz/inicial-24-p.mp3","Inicial","cultivo","¿Qué usamos para medir cuánto creció la planta? Opción 1: Una regla. Opción 2: Un imán. Opción 3: Una linterna."
"voz/primaria-1-p.mp3","Primaria","agua","¿Cuánta agua ahorra la hidroponía frente al cultivo tradicional en suelo? Opción 1: No ahorra nada. Opción 2: Alrededor del 90 %. Opción 3: Alrededor del 10 %."
"voz/primaria-2-p.mp3","Primaria","cultivo","¿Qué significan las siglas NFT en el módulo MOD-NFT-01? Opción 1: Técnica de Película de Nutrientes. Opción 2: Nuevo Filtro de Tierra. Opción 3: Nutriente Fijo Total."
"voz/primaria-3-p.mp3","Primaria","ciencia","Para saber si una planta crece, la mejor forma de saberlo es… Opción 1: Mirarla una sola vez. Opción 2: Preguntarle a un amigo. Opción 3: Medirla cada semana y anotar los datos."
"voz/primaria-4-p.mp3","Primaria","clima","El ODS 13 de la Agenda 2030 trata sobre… Opción 1: Acción por el Clima. Opción 2: Ciudades sostenibles. Opción 3: Educación de calidad."
"voz/primaria-5-p.mp3","Primaria","cultivo","¿Qué instrumento usamos para medir la altura de la planta? Opción 1: Un termómetro. Opción 2: Una regla o cinta métrica. Opción 3: Una balanza."
"voz/primaria-6-p.mp3","Primaria","ciencia","En un gráfico de barras del crecimiento semanal, ¿qué va normalmente en el eje horizontal? Opción 1: El nombre de la institución educativa. Opción 2: Los centímetros. Opción 3: Las semanas."
"voz/primaria-7-p.mp3","Primaria","agua","En el CIEHS, la solución nutritiva… Opción 1: Solo se usa una vez al año. Opción 2: Recircula y se vuelve a usar. Opción 3: Se tira después de cada riego."
"voz/primaria-8-p.mp3","Primaria","cultivo","¿Cuántos módulos hidropónicos activos tiene el CIEHS? Opción 1: Cuatro. Opción 2: Uno. Opción 3: Diez."
"voz/primaria-9-p.mp3","Primaria","ciencia","Si comparo semillas en algodón húmedo y en sustrato inerte, ¿qué estoy haciendo? Opción 1: Un dibujo libre. Opción 2: Una encuesta. Opción 3: Un experimento comparativo."
"voz/primaria-10-p.mp3","Primaria","clima","¿Por qué en Huanchaco es importante ahorrar agua? Opción 1: Porque llueve todos los días. Opción 2: Porque el agua es gratis. Opción 3: Porque es una zona costera con poca agua dulce."
"voz/primaria-11-p.mp3","Primaria","cultivo","La cebollita china que cultivamos se llama científicamente… Opción 1: Allium fistulosum. Opción 2: Lactuca sativa. Opción 3: Spinacia oleracea."
"voz/primaria-12-p.mp3","Primaria","agua","Además de agua, las raíces necesitan… Opción 1: Sal marina. Opción 2: Oxígeno. Opción 3: Aceite."
"voz/primaria-13-p.mp3","Primaria","ciencia","Una bitácora de laboratorio sirve para… Opción 1: Anotar de forma ordenada lo que observamos y medimos. Opción 2: Guardar semillas. Opción 3: Dibujar lo que queramos."
"voz/primaria-14-p.mp3","Primaria","cultivo","La biomasa fresca de una planta se mide con… Opción 1: Una regla, en centímetros. Opción 2: Una balanza, en gramos. Opción 3: Un reloj, en minutos."
"voz/primaria-15-p.mp3","Primaria","clima","¿Cuál de estas acciones reduce la basura de la institución educativa? Opción 1: Separar los residuos para reciclarlos. Opción 2: Quemar los papeles. Opción 3: Mezclarlo todo en un solo tacho."
"voz/primaria-16-p.mp3","Primaria","ciencia","Si mido mi planta un día a las 8 y otro día a las 3, mis datos… Opción 1: Se duplican. Opción 2: Son menos comparables: conviene medir siempre igual. Opción 3: Son igual de buenos."
"voz/primaria-17-p.mp3","Primaria","cultivo","¿Qué es un almácigo? Opción 1: Un tipo de abono. Opción 2: Una herramienta de metal. Opción 3: El lugar donde germinan las plántulas antes de trasplantarlas."
"voz/primaria-18-p.mp3","Primaria","agua","El agua que se pierde por evaporación en el cultivo en suelo… Opción 1: Es la misma. Opción 2: Es mayor que en un sistema hidropónico cerrado. Opción 3: No existe."
"voz/primaria-19-p.mp3","Primaria","ciencia","El número de hojas de una planta es un dato… Opción 1: Que se puede contar y anotar cada semana. Opción 2: Que no sirve para nada. Opción 3: Imposible de medir."
"voz/primaria-20-p.mp3","Primaria","clima","El ODS 6 se refiere a… Opción 1: Acción por el clima. Opción 2: Hambre cero. Opción 3: Agua limpia y saneamiento."
"voz/primaria-21-p.mp3","Primaria","cultivo","El módulo MOD-VER-04 aprovecha sobre todo… Opción 1: La lluvia. Opción 2: El espacio hacia arriba. Opción 3: El agua del mar."
"voz/primaria-22-p.mp3","Primaria","agua","Si el depósito de solución baja mucho de nivel, lo correcto es… Opción 1: Avisar y reponer siguiendo el procedimiento. Opción 2: Apagar todo y no decir nada. Opción 3: Echar agua de mar."
"voz/primaria-23-p.mp3","Primaria","ciencia","Cuando comunico mis resultados a la clase, estoy en el paso… Opción 1: Descubre. Opción 2: Comparte. Opción 3: Pregunta."
"voz/primaria-24-p.mp3","Primaria","cultivo","La espinaca que cultivamos crece mejor con un pH de… Opción 1: Entre 10 y 12. Opción 2: Entre 2 y 3. Opción 3: Entre 6.0 y 6.8."
"voz/secundaria-1-p.mp3","Secundaria","ciencia","¿Qué mide la conductividad eléctrica (CE) de una solución nutritiva? Opción 1: La temperatura del agua. Opción 2: La cantidad de sales disueltas. Opción 3: La cantidad de luz recibida."
"voz/secundaria-2-p.mp3","Secundaria","cultivo","El rango de pH general recomendado para los cultivos del CIEHS es… Opción 1: 5.5 – 6.5. Opción 2: 2.0 – 3.0. Opción 3: 8.5 – 9.5."
"voz/secundaria-3-p.mp3","Secundaria","agua","En un sistema NFT, la película de solución debe ser delgada porque… Opción 1: Ahorra electricidad en la bomba. Opción 2: Evita que crezcan las hojas. Opción 3: Así las raíces reciben nutrientes y oxígeno a la vez."
"voz/secundaria-4-p.mp3","Secundaria","ciencia","En la investigación INV-2026-01, ¿cuál es la variable independiente? Opción 1: El número de hojas. Opción 2: La altura de la planta. Opción 3: La concentración de solución nutritiva."
"voz/secundaria-5-p.mp3","Secundaria","clima","La hidroponía responde a dos limitantes de Huanchaco: Opción 1: Falta de luz y granizo. Opción 2: Salinización de suelos y estrés hídrico. Opción 3: Exceso de lluvia y frío."
"voz/secundaria-6-p.mp3","Secundaria","ciencia","DBCA significa… Opción 1: Diseño en Bloques Completamente al Azar. Opción 2: Depósito Base de Circulación Automática. Opción 3: Datos Básicos de Cultivo Anual."
"voz/secundaria-7-p.mp3","Secundaria","cultivo","Los tratamientos de INV-2026-01 son… Opción 1: 0, 10 y 20 ml/L. Opción 2: T1 = 50 %, T2 = 100 % y T3 = 150 %. Opción 3: pH 5, 6 y 7."
"voz/secundaria-8-p.mp3","Secundaria","ciencia","¿Para qué sirven las réplicas en un diseño experimental? Opción 1: Para distinguir el efecto real de la variación al azar. Opción 2: Para tener más plantas bonitas. Opción 3: Para gastar más solución."
"voz/secundaria-9-p.mp3","Secundaria","agua","Si la CE de la solución sube por encima del rango del cultivo, lo más probable es que… Opción 1: Falten nutrientes. Opción 2: El agua esté más limpia. Opción 3: Haya exceso de sales y la planta sufra estrés osmótico."
"voz/secundaria-10-p.mp3","Secundaria","cultivo","El rango de CE de la espinaca en el CIEHS es… Opción 1: 8 – 10 mS/cm. Opción 2: 1.8 – 2.3 mS/cm. Opción 3: 0.1 – 0.3 mS/cm."
"voz/secundaria-11-p.mp3","Secundaria","ciencia","Las variables de control de un experimento son las que… Opción 1: Se cambian a propósito. Opción 2: Se miden al final. Opción 3: Se mantienen constantes para no confundir los resultados."
"voz/secundaria-12-p.mp3","Secundaria","clima","El CIEHS declara alineación con la EDS de la UNESCO. Eso significa que… Opción 1: Está certificado por la UNESCO. Opción 2: Se inspira en sus enfoques, sin ser un programa oficial suyo. Opción 3: La UNESCO dirige el laboratorio."
"voz/secundaria-13-p.mp3","Secundaria","cultivo","El módulo MOD-DWC-02 se conoce en castellano como… Opción 1: Raíz Flotante. Opción 2: Cultivo vertical. Opción 3: Película de nutrientes."
"voz/secundaria-14-p.mp3","Secundaria","ciencia","La hipótesis de una investigación es… Opción 1: Un dato medido. Opción 2: Una respuesta provisional que se puede poner a prueba. Opción 3: La conclusión final."
"voz/secundaria-15-p.mp3","Secundaria","agua","La aireación forzada en el módulo de Raíz Flotante sirve para… Opción 1: Calentar la solución. Opción 2: Bajar el pH. Opción 3: Mantener oxígeno disuelto disponible para las raíces."
"voz/secundaria-16-p.mp3","Secundaria","cultivo","La biomasa fresca se expresa en… Opción 1: Centímetros. Opción 2: Gramos. Opción 3: mS/cm."
"voz/secundaria-17-p.mp3","Secundaria","clima","¿Qué ODS se relaciona más directamente con producir alimento en la propia escuela? Opción 1: ODS 2 · Hambre cero. Opción 2: ODS 15 · Vida de ecosistemas terrestres. Opción 3: ODS 4 · Educación de calidad."
"voz/secundaria-18-p.mp3","Secundaria","ciencia","En INV-2026-02, la variable independiente es… Opción 1: La longitud de la raíz. Opción 2: El porcentaje de sobrevivencia. Opción 3: La dosis de bioestimulante: 0, 10 y 20 ml/L."
"voz/secundaria-19-p.mp3","Secundaria","agua","Si el pH de la solución sube a 7.5, lo esperable es que… Opción 1: Se bloquee la absorción de algunos micronutrientes. Opción 2: La planta crezca más rápido. Opción 3: No cambie nada."
"voz/secundaria-20-p.mp3","Secundaria","cultivo","El extracto de germinado de lenteja se usa en INV-2026-02 porque aporta… Opción 1: Colorante verde. Opción 2: Sal marina. Opción 3: Fitohormonas naturales como las auxinas."
"voz/secundaria-21-p.mp3","Secundaria","ciencia","Un grupo control en un experimento sirve para… Opción 1: Duplicar los datos. Opción 2: Comparar contra el tratamiento y aislar su efecto. Opción 3: Tener plantas de repuesto."
"voz/secundaria-22-p.mp3","Secundaria","clima","Recircular la solución nutritiva reduce el consumo de agua en torno al… Opción 1: 90 %. Opción 2: 50 %. Opción 3: 5 %."
"voz/secundaria-23-p.mp3","Secundaria","cultivo","El sustrato inerte del módulo MOD-SUS-03 se llama inerte porque… Opción 1: Está muerto. Opción 2: No aporta nutrientes: solo da soporte físico. Opción 3: No deja pasar el agua."
"voz/secundaria-24-p.mp3","Secundaria","ciencia","Si dos tratamientos dan resultados muy parecidos, la conclusión honesta es… Opción 1: Que con estos datos no se observa una diferencia clara. Opción 2: Elegir el que más nos guste. Opción 3: Repetir hasta que salga distinto."
